item_id,split,gold,model,arm,native_reasoner,k,N,H
VB-1006,VB,1,gemma3-1b,noref,0,10.0,10,
VB-1006,VB,1,gemma3-1b,verbatim,0,10.0,10,
VB-1006,VB,1,gemma4-26b,difficulty,1,10.0,10,1.0
VB-1006,VB,1,gemma4-26b,noref,1,10.0,10,
VB-1006,VB,1,gemma4-26b,verbatim,1,10.0,10,
VB-1006,VB,1,gptoss-20b,difficulty,1,10.0,10,1.1
VB-1006,VB,1,gptoss-20b,noref,1,10.0,10,
VB-1006,VB,1,gptoss-20b,verbatim,1,4.0,10,
VB-1006,VB,1,qwen3-1.7b,difficulty,0,10.0,10,
VB-1006,VB,1,qwen3-1.7b,noref,0,4.0,10,
VB-1006,VB,1,qwen3-1.7b,verbatim,0,10.0,10,
VB-1006,VB,1,qwen3-32b,difficulty,0,10.0,10,3.2
VB-1006,VB,1,qwen3-32b,noref,0,10.0,10,
VB-1006,VB,1,qwen3-32b,verbatim,0,10.0,10,
VB-1006,VB,1,qwen3-8b,difficulty,0,10.0,10,3.0
VB-1006,VB,1,qwen3-8b,noref,0,10.0,10,
VB-1006,VB,1,qwen3-8b,verbatim,0,10.0,10,
VB-1006,VB,1,qwen35-9b,difficulty,0,10.0,10,2.0
VB-1006,VB,1,qwen35-9b,noref,0,8.0,9,
VB-1006,VB,1,qwen35-9b,verbatim,0,10.0,10,
VB-1016,VB,1,gemma3-1b,difficulty,0,0.0,10,1.0
VB-1016,VB,1,gemma3-1b,noref,0,0.0,10,
VB-1016,VB,1,gemma3-1b,verbatim,0,0.0,10,
VB-1016,VB,1,gemma4-26b,difficulty,1,10.0,10,1.0
VB-1016,VB,1,gemma4-26b,noref,1,10.0,10,
VB-1016,VB,1,gemma4-26b,verbatim,1,10.0,10,
VB-1016,VB,1,gptoss-20b,difficulty,1,10.0,10,1.0
VB-1016,VB,1,gptoss-20b,noref,1,10.0,10,
VB-1016,VB,1,gptoss-20b,verbatim,1,10.0,10,
VB-1016,VB,1,qwen3-1.7b,difficulty,0,10.0,10,4.2
VB-1016,VB,1,qwen3-1.7b,noref,0,1.0,10,
VB-1016,VB,1,qwen3-1.7b,verbatim,0,10.0,10,
VB-1016,VB,1,qwen3-32b,difficulty,0,10.0,10,1.0
VB-1016,VB,1,qwen3-32b,noref,0,10.0,10,
VB-1016,VB,1,qwen3-32b,verbatim,0,10.0,10,
VB-1016,VB,1,qwen3-8b,difficulty,0,10.0,10,1.0
VB-1016,VB,1,qwen3-8b,noref,0,10.0,10,
VB-1016,VB,1,qwen3-8b,verbatim,0,10.0,10,
VB-1016,VB,1,qwen35-9b,difficulty,0,10.0,10,1.0
VB-1016,VB,1,qwen35-9b,noref,0,10.0,10,
VB-1016,VB,1,qwen35-9b,verbatim,0,10.0,10,
