item_id,split,gold,model,arm,round,native_reasoner,verdict,difficulty,n_chars,status
VB-1519,VB,0,qwen3-1.7b,verbatim,0,0,0,,587,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,1,0,0,,659,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,2,0,0,,792,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,3,0,0,,715,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,4,0,1,,646,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,5,0,0,,1291,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,6,0,0,,630,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,7,0,0,,633,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,8,0,0,,651,ok
VB-1519,VB,0,qwen3-1.7b,verbatim,9,0,0,,684,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,0,0,0,2,900,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,1,0,1,,810,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,2,0,1,5,1084,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,3,0,0,3,1658,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,4,0,1,5,1048,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,5,0,0,3,1216,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,6,0,1,5,891,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,7,0,0,2,1116,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,8,0,1,5,1085,ok
VB-1519,VB,0,qwen3-1.7b,difficulty,9,0,0,2,798,ok
VB-1519,VB,0,qwen3-1.7b,noref,0,0,1,,1859,ok
VB-1519,VB,0,qwen3-1.7b,noref,1,0,1,,1583,ok
VB-1519,VB,0,qwen3-1.7b,noref,2,0,1,,1766,ok
VB-1519,VB,0,qwen3-1.7b,noref,3,0,1,,1598,ok
VB-1519,VB,0,qwen3-1.7b,noref,4,0,1,,1759,ok
VB-1519,VB,0,qwen3-1.7b,noref,5,0,1,,1859,ok
VB-1519,VB,0,qwen3-1.7b,noref,6,0,1,,1690,ok
VB-1519,VB,0,qwen3-1.7b,noref,7,0,1,,1915,ok
VB-1519,VB,0,qwen3-1.7b,noref,8,0,1,,1955,ok
VB-1519,VB,0,qwen3-1.7b,noref,9,0,1,,1491,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,0,0,0,,1240,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,1,0,0,,1053,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,2,0,0,,1147,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,3,0,0,,1420,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,4,0,0,,1241,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,5,0,0,,1297,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,6,0,0,,1573,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,7,0,0,,1327,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,8,0,0,,1263,ok
VB-1213,VB,0,qwen3-1.7b,verbatim,9,0,0,,1125,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,0,0,0,2,1325,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,1,0,0,,1191,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,2,0,1,3,1227,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,3,0,0,3,1660,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,4,0,0,,2030,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,5,0,0,,1939,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,6,0,0,,1530,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,7,0,0,2,1429,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,8,0,1,2,1375,ok
VB-1213,VB,0,qwen3-1.7b,difficulty,9,0,0,3,1316,ok
VB-1213,VB,0,qwen3-1.7b,noref,0,0,0,,3623,ok
VB-1213,VB,0,qwen3-1.7b,noref,1,0,1,,2523,ok
VB-1213,VB,0,qwen3-1.7b,noref,2,0,1,,2752,ok
VB-1213,VB,0,qwen3-1.7b,noref,3,0,0,,2054,ok
VB-1213,VB,0,qwen3-1.7b,noref,4,0,0,,2977,ok
VB-1213,VB,0,qwen3-1.7b,noref,5,0,1,,4160,ok
VB-1213,VB,0,qwen3-1.7b,noref,6,0,0,,3073,ok
VB-1213,VB,0,qwen3-1.7b,noref,7,0,1,,3218,ok
VB-1213,VB,0,qwen3-1.7b,noref,8,0,1,,2610,ok
VB-1213,VB,0,qwen3-1.7b,noref,9,0,1,,3193,ok
VB-611,VB,0,qwen3-1.7b,verbatim,0,0,0,,649,ok
VB-611,VB,0,qwen3-1.7b,verbatim,1,0,0,,755,ok
VB-611,VB,0,qwen3-1.7b,verbatim,2,0,1,,549,ok
VB-611,VB,0,qwen3-1.7b,verbatim,3,0,1,,479,ok
VB-611,VB,0,qwen3-1.7b,verbatim,4,0,0,,548,ok
VB-611,VB,0,qwen3-1.7b,verbatim,5,0,0,,675,ok
VB-611,VB,0,qwen3-1.7b,verbatim,6,0,1,,697,ok
VB-611,VB,0,qwen3-1.7b,verbatim,7,0,0,,774,ok
VB-611,VB,0,qwen3-1.7b,verbatim,8,0,1,,560,ok
VB-611,VB,0,qwen3-1.7b,verbatim,9,0,1,,735,ok
VB-611,VB,0,qwen3-1.7b,difficulty,0,0,0,2,651,ok
VB-611,VB,0,qwen3-1.7b,difficulty,1,0,0,3,727,ok
VB-611,VB,0,qwen3-1.7b,difficulty,2,0,0,3,718,ok
VB-611,VB,0,qwen3-1.7b,difficulty,3,0,0,3,685,ok
